 ParaSetNr  CUT_ANN_INPUTNEURONS CUT_ANN_OUTPUT  
  0  5  0.1
  1  5  0.14
  2  5  0.18
  3  5  0.22
  4  5  0.26
  5  5  0.3
  6  5  0.34
  7  5  0.38
  8  5  0.42
  9  5  0.46
  10  5  0.5
  11  5  0.54
  12  5  0.58
  13  5  0.62
  14  5  0.66
  15  5  0.7
  16  5  0.74
  17  5  0.78
  18  5  0.82
  19  5  0.86
  20  10  0.1
  21  10  0.14
  22  10  0.18
  23  10  0.22
  24  10  0.26
  25  10  0.3
  26  10  0.34
  27  10  0.38
  28  10  0.42
  29  10  0.46
  30  10  0.5
  31  10  0.54
  32  10  0.58
  33  10  0.62
  34  10  0.66
  35  10  0.7
  36  10  0.74
  37  10  0.78
  38  10  0.82
  39  10  0.86
  40  20  0.1
  41  20  0.14
  42  20  0.18
  43  20  0.22
  44  20  0.26
  45  20  0.3
  46  20  0.34
  47  20  0.38
  48  20  0.42
  49  20  0.46
  50  20  0.5
  51  20  0.54
  52  20  0.58
  53  20  0.62
  54  20  0.66
  55  20  0.7
  56  20  0.74
  57  20  0.78
  58  20  0.82
  59  20  0.86
  60  30  0.1
  61  30  0.14
  62  30  0.18
  63  30  0.22
  64  30  0.26
  65  30  0.3
  66  30  0.34
  67  30  0.38
  68  30  0.42
  69  30  0.46
  70  30  0.5
  71  30  0.54
  72  30  0.58
  73  30  0.62
  74  30  0.66
  75  30  0.7
  76  30  0.74
  77  30  0.78
  78  30  0.82
  79  30  0.86
  80  5  0.86
  81  5  0.88
  82  5  0.9
  83  5  0.92
  84  5  0.94
  85  10  0.86
  86  10  0.88
  87  10  0.9
  88  10  0.92
  89  10  0.94
  90  20  0.86
  91  20  0.88
  92  20  0.9
  93  20  0.92
  94  20  0.94
  95  30  0.86
  96  30  0.88
  97  30  0.9
  98  30  0.92
  99  30  0.94
  100  5  0.9
  101  5  0.91
  102  5  0.92
  103  5  0.93
  104  5  0.94
  105  5  0.95
  106  5  0.96
  107  5  0.97
  108  5  0.98
  109  10  0.9
  110  10  0.91
  111  10  0.92
  112  10  0.93
  113  10  0.94
  114  10  0.95
  115  10  0.96
  116  10  0.97
  117  10  0.98
  118  20  0.9
  119  20  0.91
  120  20  0.92
  121  20  0.93
  122  20  0.94
  123  20  0.95
  124  20  0.96
  125  20  0.97
  126  20  0.98
  127  30  0.9
  128  30  0.91
  129  30  0.92
  130  30  0.93
  131  30  0.94
  132  30  0.95
  133  30  0.96
  134  30  0.97
  135  30  0.98
