 ParaSetNr  CUT_P CUT_ALISUBSIZE  
  0    0  600  
  1    0  800  
  2    0  1000  
  3    0  1200  
  4    0  1400  
  5    0  1600  
  6    0  1800  
  7    20  600  
  8    20  800  
  9    20  1000  
  10    20  1200  
  11    20  1400  
  12    20  1600  
  13    20  1800  
  14    40  600  
  15    40  800  
  16    40  1000  
  17    40  1200  
  18    40  1400  
  19    40  1600  
  20    40  1800  
  21    60  600  
  22    60  800  
  23    60  1000  
  24    60  1200  
  25    60  1400  
  26    60  1600  
  27    60  1800  
  28    80  600  
  29    80  800  
  30    80  1000  
  31    80  1200  
  32    80  1400  
  33    80  1600  
  34    80  1800  
  35    100  600  
  36    100  800  
  37    100  1000  
  38    100  1200  
  39    100  1400  
  40    100  1600  
  41    100  1800  
  42    120  600  
  43    120  800  
  44    120  1000  
  45    120  1200  
  46    120  1400  
  47    120  1600  
  48    120  1800  
  49    140  600  
  50    140  800  
  51    140  1000  
  52    140  1200  
  53    140  1400  
  54    140  1600  
  55    140  1800  
  56    160  600  
  57    160  800  
  58    160  1000  
  59    160  1200  
  60    160  1400  
  61    160  1600  
  62    160  1800  
  63    180  600  
  64    180  800  
  65    180  1000  
  66    180  1200  
  67    180  1400  
  68    180  1600  
  69    180  1800  
